Year,Film,C?,Bathtub,#B,Shower,#S,Other,Bathtub Actress 1,Bathtub Actress 2,Bathtub Actress 3,Bathtub Actress 4,Bathtub Actor 1,Bathtub Actor 2,Shower Actress 1,Shower Actress 2,Shower Actress 3,Shower Actor 1,Shower Actor 2,Shower Actor 3,Other Actress,Other Actor,M/F Bathtub Solo?,Bathtub Together?,Shower Togther?,M/F Shower Solo,Other Together?,Notes,Script,script_id,imdb_id,gross (inflation-adjusted),Notes
1975,Jaws,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/Jaws.txt,2666,tt0073195,1103,
1975,Mandingo,C,Bathtub,2,,,Fire pit tub,Reda Wyatt,,,,Ken Norton,,,,,,,,,Ken Norton,M;F,,,,,,http://www.dailyscript.com/scripts/mandingo1.pdf,4588,tt0073349,,
1975,Nashville,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Nashville Script.html,2980,tt0073440,,
1975,The Rocky Horror Picture Show,,,,,,,,,,,,,,,,,,,,,,,,,,,"film_20100519/all_imsdb_05_19_10/Rocky-Horror-Picture-Show,-The.html",1281,tt0073629,594,
1975,Shampoo,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Shampoo Script.html,3314,tt0073692,,
1975,Shivers,C,Bathtub,1,,,,Barbara Steele,,,,,,,,,,,,,,,,,,,Barbara Steele attacked by worm creature in the bathtub,film_20100519/all_imsdb_05_19_10/Shivers.html,1324,tt0073705,,
1975,The Stepford Wives,,,,,,,,,,,,,,,,,,,,,,,,,,,Stepford Wives.pdf,7610,tt0073747,,
1975,Three Days of the Condor,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.awesomefilm.com/script/ThreeDaysoftheCondor.pdf,5126,tt0073802,,
1975,The Wind and the Lion,,Bathtub,1,,,,Candice Bergen,,,,,,,,,,,,,,,,,,,,"Wind and the Lion, The [Scan].pdf",7814,tt0073906,,
1976,All the President's Men,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL THE PRESIDENT'S MEN - 1975.03 draft by William Goldman.1.pdf,7583,tt0074119,,
1976,Logan's Run,,Bathtub,1,,,,,,,,Richard Jordan,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/Logans+Run.txt,4543,tt0074812,102,
1976,Network,,,,,,,,,,,,,,,,,,,,,,,,,,,http://sfy.ru/sfy.html?script=network,4688,tt0074958,,
1976,Obsession,,,,,,,,,,,,,,,,,,,,,,,,,,,Obsession_011775.pdf,6509,tt0074991,,
1976,The Outlaw Josey Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,"Outlaw Josey Wales, The (1975.09.10).pdf",6163,tt0075029,,
1976,Rocky,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Rocky.html,1284,tt0075148,477,
1976,The Seven-Per-Cent Solution,,,,,,,,,,,,,,,,,,,,,,,,,,,"Seven Per-Cent Solution, The.pdf",6454,tt0075194,,
1976,Silver Streak,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Silver_Streak.pdf,4959,tt0075223,,
1976,Taxi Driver,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Taxi Driver Script.html,3505,tt0075314,,
1977,3 Women,,,,,,,,,,,,,,,,,,,,,,,,,,,three women-treatment.pdf,7678,tt0075612,,
1977,Annie Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Annie-Hall.html,682,tt0075686,152,
1977,The Goodbye Girl,C,Bathtub,1,,,,Marsha Mason,,,,,,,,,,,,,,,,,,,,"GOODBYE GIRL, THE (1977) by Neil Simon [1976.12] [3rd] [Scan].pdf",7134,tt0076095,,
1977,Rabid,C,,,,,Jacuzzi,,,,,,,,,,,,,Terry Schonblum; Marilyn Chambers,,,,,,Together,,Rabid.pdf,7237,tt0076590,,
1977,Rolling Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,ROLLING THUNDER (1977) by Paul Schrader.pdf,8446,tt0076637,,
1977,Smokey and the Bandit,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/Smokey%20And%20The%20Bandit.txt,4978,tt0076729,495,
1977,Star Wars: Episode IV - A New Hope,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Star-Wars-A-New-Hope.html,1362,tt0076759,1798,
1977,The Hills Have Eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,http://indiegroundfilms.files.wordpress.com/2014/01/the-hills-have-eyes-1976-numbered.pdf,8901,tt0077681,,
1978,Capricorn One,,,,,,,,,,,,,,,,,,,,,,,,,,,Capricorn_One.pdf,7179,tt0077294,,
1978,Days of Heaven,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Days-of-Heaven.html,848,tt0077405,,
1978,The Deer Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,,"film_20100519/all_imsdb_05_19_10/Deer-Hunter,-The.html",853,tt0077416,,
1978,The Driver,,,,,,,,,,,,,,,,,,,,,,,,,,,Walter Hills screenplay for The Driver.pdf,8395,tt0077474,,
1978,Halloween,,,,,,,,,,,,,,,,,,,,,,,,,,,Halloween-Carpenter&amp;Hill(1978).pdf,6836,tt0077651,174,
1978,Jaws 2,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.horrorlair.com/scripts/jaws2_revised_final_draft.txt,2671,tt0077766,382,
1978,Midnight Express,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Midnight-Express.html,1155,tt0077928,130,
1978,An Unmarried Woman,,,,,,,,,,,,,,,,,,,,,,,,,,,"Unmarried Woman, An.pdf",8219,tt0078444,,
1979,Alien,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/alien_shooting.html,1576,tt0078748,6,
1979,Apocalypse Now,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Apocalypse Now Script.html,1676,tt0078788,16,
1979,Being There,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Being There Script.html,1802,tt0078841,,
1979,Breaking Away,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Breaking Away Script.html,1921,tt0078902,,
1979,The Electric Horseman,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/theelectrichorseman.pdf,4158,tt0079100,,
1979,Escape from Alcatraz,,,,Shower,1,,,,,,,,,,,Clint Eastwood,Bruce M. Fischer,,,,,,Together,,,,Escape From Alcatraz.pdf,6113,tt0079116,126,He shoves the soap in the other guys' mouth in the prison shower.
1979,Hanover Street,,,,,,,,,,,,,,,,,,,,,,,,,,,Hanover Street (1977.07).pdf,6958,tt0079268,,
1979,Hardcore,,,,Shower,1,,,,,,,,,,,Will Walker,,,,,,,,,,,http://www.dailyscript.com/scripts/Hardcore.txt,4333,tt0079271,,The porn star girl's dad throws Jim under the shower head to wake him up bc he beat him unconscious
1979,Hot Stuff,,,,,,,,,,,,,,,,,,,,,,,,,,,Hot Stuff (1979).pdf,8157,tt0079308,,
1979,Kramer vs. Kramer,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.awesomefilm.com/script/kramerVsKramer.txt,4489,tt0079417,367,
1979,Norma Rae,,,,,,,,,,,,,,,,,,,,,,,,,,,"NORMA RAE by Irving Ravetch and Harriet Frank, Jr..pdf",7129,tt0079638,,
1979,Old Boyfriends,,,,,,,,,,,,,,,,,,,,,,,,,,,OLD BOYFRIENDS (1979) 1977.12.12 draft by Paul Schrader and Leonard Schrader and Joan Tewkesbury.pdf,8450,tt0079660,,
1979,Star Trek: The Motion Picture,,,,Shower,1,,,,,,,,Persis Khambatta,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/startrek01.html,5025,tt0079945,285,
1979,Time After Time,,,,,,,,,,,,,,,,,,,,,,,,,,,Time After Time.pdf,6455,tt0080025,,
1980,Nine to Five,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Nine_to_Five.pdf,4710,tt0080319,333,
1980,Airplane!,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Airplane.html,648,tt0080339,269,
1980,American Gigolo,,,,,,,,,,,,,,,,,,,,,,,,,,,American Gigolo (1980).pdf,7955,tt0080365,,
1980,Caddyshack,,,,,,,,,,,,,,,,,,,,,,,,,,,Caddyshack.pdf,7206,tt0080487,128,
1980,Coal Miner's Daughter,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Coal_Miner%27s_Daughter.pdf,4030,tt0080549,258,
1980,The Elephant Man,,Bathtub,1,,,,,,,,John Hurt,,,,,,,,,,,,,,,,"film_20100519/all_imsdb_05_19_10/Elephant-Man,-The.html",886,tt0080678,,
1980,Star Wars: Episode V - The Empire Strikes Back,C,,,,,Bacta tank,,,,,,,,,,,,,,Mark Hamill,,,,,,,http://www.scifiscripts.com/scripts/esb_final.txt,3433,tt0080684,937,
1980,Flash Gordon,,Bathtub,1,,,,Melody Anderson,,,,,,,,,,,,,,,,,,,Anderson being bathed by various women,http://www.imsdb.com/Movie Scripts/Flash Gordon Script.html,2299,tt0080745,,
1980,Friday the 13th,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.horrorlair.com/scripts/Friday1.txt,2334,tt0080761,121,
1980,Kagemusha,,,,,,,,,,,,,,,,,,,,,,,,,,,Kagemusha (Akira Kurosawa & Masato Ide).pdf,8434,tt0080979,,
1980,Motel Hell,,Bathtub,1,,,,Nina Axelrod,,,,,,,,,,,,,,,,,,,,Motel Hell (1980) [5-19-1980].pdf,8604,tt0081184,,
1980,My Bodyguard,,,,,,,,,,,,,,,,,,,,,,,,,,,My Bodyguard (1980).pdf,7219,tt0081207,,
1980,Ordinary People,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Ordinary People Script.html,3042,tt0081283,177,
1980,Private Benjamin,,,,,,,,,,,,,,,,,,,,,,,,,,,Private Benjamin (11-20-79).pdf,8308,tt0081375,225,
1980,Prom Night,,,,Shower,2,,,,,,,,Jamie Lee Curtis,Anne-Marie Martin,Mary Beth Rubens,,,,,,,,Together,,,,Prom Night (1980).pdf,6154,tt0081383,,
1980,Raging Bull,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Raging Bull Script.html,3169,tt0081398,,
1980,Seems Like Old Times,,,,,,,,,,,,,,,,,,,,,,,,,,,Seems Like Old Times.pdf,7132,tt0081480,,
1980,The Shining,C,Bathtub,1,,,,Lia Beldam,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Shining, The Script.html",3325,tt0081505,,
1980,Somewhere in Time,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/somewhereintime.pdf,4998,tt0081534,,
1980,The Stunt Man,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Stuntman, The Script.html",3461,tt0081568,,
1980,Superman II,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.scifiscripts.com/scripts/superman_II_shoot.txt,5072,tt0081573,349,
1981,An American Werewolf in London,,,,Shower,1,,,,,,,,Jenny Agutter,,,David Naughton,,,,,,,Together,,,Shower sex scene,film_20100519/all_imsdb_05_19_10/American-Werewolf-in-London.html,674,tt0082010,,
1981,Body Heat,,Bathtub,1,,,Jacuzzi,Kathleen Turner,,,,,,,,,,,,Kathleen Turner,William Hurt,,,,,Together,,http://www.imsdb.com/Movie Scripts/Body Heat Script.html,1872,tt0082089,,
1981,Scanners,,,,,,,,,,,,,,,,,,,,,,,,,,,Scanners.pdf,6613,tt0081455,,
1981,Dragonslayer,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Dragonslayer.html,868,tt0082288,18,
1981,Escape from New York,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Escape From New York Script.html,2239,tt0082340,78,
1981,For Your Eyes Only,,,,,,,,,,,,,,,,,,,,,,,,,,,For Your Eyes Only_Reduced.pdf,6100,tt0082398,194,
1981,Halloween II,,,,,,Jacuzzi,,,,,,,,,,,,,Pamela Susan Shoop,Leo Rossi,,,,,Together,,Halloween 2 (1981) [1981-3-12] [Shoot.] [Scan].pdf,6837,tt0082495,79,
1981,Modern Problems,,,,Shower,1,,,,,,,,,,,Chevy Chase,Brian Doyle-Murray,,,,,,Together,,,,Modern Problems (1981).pdf,7697,tt0082763,,
1981,On Golden Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-On_Golden_Pond.pdf,4744,tt0082846,372,
1981,Raiders of the Lost Ark,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Indiana-Jones-and-the-Raiders-of-the-Lost-Ark.html,1034,tt0082971,9,
1981,Thief,,Bathtub,1,,,,,,,,James Caan,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/thief.pdf,5114,tt0083190,13,
1982,48 Hrs.,,Bathtub,1,Shower,1,,,,,,Nick Nolte,,Annette O'Toole,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/48 Hrs. Script.html,1532,tt0083511,224,
1982,Airplane II: The Sequel,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Airplane-2-The-Sequel.html,650,tt0083530,,
1982,Blade Runner,,Bathtub,1,Shower,1,,Sean Young,,,,Harrison Ford,,Joanna Cassidy,,,,,,,,,Together,,,,,http://www.imsdb.com/Movie Scripts/Blade Runner Script.html,1849,tt0083658,4,
1982,Diner,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Diner Script.html,2158,tt0083833,41,
1982,Fast Times at Ridgemont High,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Fast-Times-at-Ridgemont-High.html,906,tt0083929,,
1982,The King of Comedy,,,,Shower,1,,,,,,,,,,,Robert De Niro,,,,,,,,,,,"film_20100519/all_imsdb_05_19_10/King-of-Comedy,-The.html",1071,tt0085794,7,
1982,Frances,C,Bathtub; Asylum ice bath,2,,,,Jessica Lange,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Frances Script.html,2316,tt0083967,14,
1982,Friday the 13th Part III,,,,Shower,1,,,,,,,,Tracie Savage,,,,,,,,,,,,,,http://www.horrorlair.com/scripts/friday13th3.txt,4235,tt0083972,107,
1982,Gandhi,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/Gandhi.txt,2368,tt0083987,,
1982,An Officer and a Gentleman,,,,Shower,1,,,,,,,,,,,Richard Gere,,,,,,,,,,,"http://www.dailyscript.com/scripts/Officer+And+A+Gentleman,+An.txt",4738,tt0084434,384,
1982,Rocky III,,,,,,,,,,,,,,,,,,,,,,,,,,,Rocky III [2-26-1981] [Scan].pdf,7876,tt0084602,47,
1982,Star Trek II: The Wrath of Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,Star Trek II - The Wrath of Khan.pdf,7311,tt0084726,42,
1982,TRON,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/TRON.html,1393,tt0084827,97,
1982,The Verdict,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Verdict, The Script.html",3654,tt0084855,159,
1983,Christine,,,,,,,,,,,,,,,,,,,,,,,,,,,CHRISTINE (1983) by Bill Phillips [1983.02.16] [Scan].pdf,8189,tt0085333,58,
1983,Cujo,,,,,,,,,,,,,,,,,,,,,,,,,,,CUJO by Stephen King (1st Draft) [scan].pdf,6540,tt0085382,58,
1983,Jaws 3-D,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.horrorlair.com/scripts/jaws3_1st_draft.txt,4449,tt0085750,116,
1983,The Keep,,,,,,,,,,,,,,,,,,,,,,,,,,,"KEEP, THE (1983) [1982-04-13] Michael Mann - First Draft.pdf",6518,tt0085780,,
1983,Local Hero,,,,,,,,,,,,,,,,,,,,,,,,,,,Local Hero (1981.11).pdf,8562,tt0085859,,
1983,Octopussy,,,,,,,,,,,,,,,,,,,,,,,,,,,Octopussy8.19.82Draft.pdf,6234,tt0086034,187,
1983,The Outsiders,,,,,,,,,,,,,,,,,,,,,,,,,,,"Outsiders, The.pdf",7119,tt0086066,70,
1983,The Ploughman's Lunch,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/ploughmans_lunch.html,4804,tt0086122,,
1983,Psycho II,C,,,Shower,1,,,,,,,,Meg Tilly,,,,,,,,,,,,,,Psycho 2 (1983) [1982-7-19] [Scan].pdf,8268,tt0086154,88,Plus it replays the original Psycho shower scene with Janet Leigh
1983,Star Wars: Episode VI - Return of the Jedi,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Star-Wars-Return-of-the-Jedi.html,1359,tt0086190,853,
1983,Scarface,C,Bathtub,1,,,,,,,,Al Pacino,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Scarface.html,1305,tt0086250,1,
1983,Superman III,,,,,,Acid bath,,,,,,,,,,,,,,Christopher Reeve,,,,,,,http://www.scifiscripts.com/scripts/superman3_script.txt,5075,tt0086393,165,
1983,Terms of Endearment,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Terms_of_Endearment.pdf,5106,tt0086425,298,
1983,Under Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Under Fire Script.html,3635,tt0086510,15,
1984,The Adventures of Buckaroo Banzai Across the 8th Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,"film_20100519/all_imsdb_05_19_10/Adventures-of-Buckaroo-Banzai-Across-the-Eighth-Dimension,-The.html",640,tt0086856,,
1984,Amadeus,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Amadeus.html,664,tt0086879,,
1984,Children of the Corn,,,,,,,,,,,,,,,,,,,,,,,,,,,childrenofthecorn.pdf,6538,tt0087050,37,
1984,Choose Me,,,,,,,,,,,,,,,,,,,,,,,,,,,CHOOSE ME (1984) by Alan Rudolph [Undated] [Scan].pdf,8287,tt0087054,,
1984,City Heat,,Bathtub,1,,,,Madeline Kahn,,,,,,,,,,,,,,,,,,,,City Heat (1984.04.06) [Scan].pdf,6742,tt0087062,99,
1984,Firestarter,,,,,,,,,,,,,,,,,,,,,,,,,,,Firestarter.pdf,6539,tt0087262,39,
1984,Ghostbusters,,,,,,,,,,,,,,,,,,,,,,,,,,,GHOSTBUSTERS - 1983.10.07 revision by Harold Ramis & Dan Aykroyd.pdf,7290,tt0087332,592,
1984,Gremlins,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Gremlins.html,971,tt0087363,383,
1984,Indiana Jones and the Temple of Doom,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Indiana-Jones-and-the-Temple-of-Doom.html,1036,tt0087469,466,
1984,Moscow on the Hudson,,Bathtub,1,,,,,,,,Robin Williams,,,,,,,,,,,,,,,,Moscow On The Hudson.pdf,8218,tt0087747,64,
1984,A Nightmare on Elm Street,C,Bathtub,1,,,,Heather Langenkamp,,,,,,,,,,,,,,,,,,,,"film_20100519/all_imsdb_05_19_10/Nightmare-on-Elm-Street,-A.html",1196,tt0087800,68,
1984,Purple Rain,,,,Shower,1,,,,,,,,,,,Morris Day,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Purple-Rain.html,1256,tt0087957,,
1984,Repo Man,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Repo-Man.html,1273,tt0087995,,
1984,Star Trek III: The Search for Spock,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.scifiscripts.com/scripts/Trek/Star_Trek_III.htm,5028,tt0088170,197,
1984,Starman,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Starman.html,1371,tt0088172,74,
1984,Supergirl,,,,Shower,1,,,,,,,,Helen Slater,Maureen Teefy,,,,,,,,,Together,,,,http://www.imsdb.com/Movie Scripts/Supergirl Script.html,3471,tt0088206,35,
1984,The Terminator,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Terminator Script.html,3511,tt0088247,99,
1985,Agnes of God,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Agnes of God Script.html,1564,tt0088683,,
1985,Back to the Future,,,,,,,,,,,,,,,,,,,,,,,,,,,BACK TO THE FUTURE (1985) Robert Zemeckis & Bob Gale [1984-10-12][4th].pdf,7856,tt0088763,517,
1985,The Black Cauldron,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.scifiscripts.com/cartoon/blackcauldron.txt,6026,tt0088814,51,
1985,Brazil,,Bathtub,1,,,,Kim Greist,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Brazil.html,774,tt0088846,24,
1985,The Breakfast Club,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Breakfast Club, The Script.html",1919,tt0088847,93,
1985,Code of Silence,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Code-of-Silence.html,811,tt0088936,,
1985,Day of the Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Day-of-the-Dead.html,844,tt0088993,,
1985,Fletch,,,,Shower,1,,,,,,,,,,,Chevy Chase,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Fletch.html,917,tt0089155,114,
1985,Kiss of the Spider Woman,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/KissOfTheSpiderWoman.pdf,2711,tt0089424,,
1985,Legend,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.angelfire.com/movies/ridleyscott/script/LegendOfDarkness.txt,4515,tt0089469,37,
1985,A Nightmare on Elm Street 2: Freddy's Revenge,,,,Shower,1,,,,,,,,,,,Mark Patton,,,,,,,,,,,NIGHTMARE ON ELMS STREET 2 - FREDDY'S REVENGE by David Chaskin.pdf,6161,tt0089686,73,
1985,Rambo: First Blood Part II,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Rambo-First-Blood-II-The-Mission.html,1264,tt0089880,367,
1985,A Room with a View,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/A_Room_With_A_View.pdf,4892,tt0091867,51,
1985,Real Genius,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Real-Genius.html,1267,tt0089886,31,
1985,Silver Bullet,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Silver-Bullet.html,1329,tt0090021,,
1985,Silverado,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/Silverado.txt,4960,tt0090022,81,
1985,Weird Science,,,,,,,,,,,,,,,,,,,,,,,,,,,Weird Science [John Hughes] [09.24.84] [Rev. Final] [Scan].pdf,6279,tt0090305,39,
1985,Witness,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Witness.html,1482,tt0090329,160,
1986,Mala Noche,,,,,,,,,,,,,,,,,,,,,,,,,,,Mala-Noche-1985-Draft-Script.pdf,8423,tt0089537,,
1986,Aliens,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Aliens Script.html,1597,tt0090605,199,
1986,Blue Velvet,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Blue Velvet Script.html,1866,tt0090756,20,
1986,Ferris Bueller's Day Off,C,,,Shower,1,,,,,,,,,,,Matthew Broderick,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Ferris-Bueller's-Day-Off.html,909,tt0091042,164,
1986,Jason Lives: Friday the 13th Part VI,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.horrorlair.com/scripts/friday13th6.txt,4236,tt0091080,44,
1986,Hannah and Her Sisters,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Hannah and Her Sisters Script.html,2472,tt0091167,94,
1986,Jumpin' Jack Flash,,,,Shower,1,,,,,,,,Whoopi Goldberg,,,,,,,,,,,,,,Jumpin' Jack Flash (1986.01.13).pdf,6798,tt0091306,60,
1986,Manhunter,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Manhunter.html,1136,tt0091474,20,
1986,Maximum Overdrive,,,,,,,,,,,,,,,,,,,,,,,,,,,Maximum Overdrive.pdf,6580,tt0091499,17,
1986,The Mosquito Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,"MOSQUITO COAST, THE (1986) by Paul Schrader.pdf",8452,tt0091557,33,
1986,Platoon,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Platoon Script.html,3110,tt0091763,323,
1986,Running Scared,,,,,,,,,,,,,,,,,,,,,,,,,,,Running%20Scared.pdf,6372,tt0091875,90,
1986,Something Wild,,,,,,,,,,,,,,,,,,,,,,,,,,,"Frye, E. Max - Something Wild.pdf",7593,tt0091983,19,
1986,Stand by Me,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.moviescriptsandscreenplays.com/johncusack/scripts/standbyme.txt,5023,tt0092005,122,
1986,Star Trek IV: The Voyage Home,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.scifiscripts.com/scripts/Trek/Star_Trek_IV.htm,5029,tt0092007,257,
1986,Top Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Top Gun Script.html,3576,tt0092099,422,
1986,The Big Easy,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/bigeasy.pdf,3925,tt0092654,41,
1987,Broadcast News,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Broadcast News Script.html,1928,tt0092699,113,
1987,Full Metal Jacket,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Full Metal Jacket Script.html,2350,tt0093058,103,
1987,Hellraiser,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Hellraiser Script.html,2519,tt0093177,32,
1987,The Magic Toyshop,,Bathtub,1,,,,Caroline Milmoe,,,,,,,,,,,,,,,,,,,,http://www.aellea.com/emruf3/toyshop.html,4577,tt0097806,,
1987,Hope and Glory,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/hopeandglory.html,4369,tt0093209,22,
1987,House of Games,,,,,,,,,,,,,,,,,,,,,,,,,,,House of Games.pdf,7445,tt0093223,5,
1987,Innerspace,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Innerspace Script.html,2613,tt0093260,57,
1987,Jaws: The Revenge,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.horrorlair.com/scripts/jaws_the_revenge.txt,4450,tt0093300,46,
